Authors,Title,Conference,Date
"Timm, A. and Lubbe, S.","Programming in R: Exploring Classes, Methods and Interfacing.","SASA: Annual South African Statistical Association Conference, 1-3 November 2011, Pretoria.",2011-11-01
"Williams, D. and Lubbe, S.",Biplots for three-mode data: An application to HIV immune response data.,"SASA: Annual South African Statistical Association Conference, 1-3 November 2011, Pretoria.",2011-11-01
"Le Roux, N.J., Lubbe, S. and Gower, J.C.",Biplots for Categorical Variables: Grouped and Ungrouped Data.,"CARME: Correspondence Analysis and Related Methods Conference, 1-4 October 2011, Assos, Turkey.",2011-10-01
"Lubbe, S., le Roux, N.J. and Gower, J.C.",Analysis of Distance Biplots: Grouped and Ungrouped Data.,"CARME: Correspondence Analysis and Related Methods Conference, 1-4 October 2011, Assos, Turkey.",2011-10-01
"Lubbe, S., Silal, S. and le Roux, N.J.",Constructing a Socio-Economic Status Index for a Non-Homogeneous Society with Distinct Sets of Variables in Multiple Correspondence Analysis.,"CARME: International Conference on Correspondence Analysis and Related Methods, 8 – 11 February 2011, Rennes, France.",2011-02-08
"Le Roux, N.J. and Lubbe, S.",A biplot view of crime in the RSA.,"SASA: Annual South African Statistical Association Conference, 10 - 12 November 2010, Potchefstroom.",2010-11-10
"Lubbe, S. and Witten, G.",Monoplot Analysis of Hedge Funds. ,"SASA: Annual South African Statistical Association Conference, 10 - 12 November 2010, Potchefstroom.",2010-11-10
"Le Roux, N.J. and Lubbe, S.",From Biplots to Understanding Biplots. ,"Gowerfest II: Geometry of Data Analysis. 19 July 2010, Milton Keynes, UK.",2010-07-19
"Le Roux, N.J., Lubbe, S. and Aldrich, C.",Advanced Biplot Diagnostics for Process Performance Evaluation.,"SASA: South African Chemical Engineering Conference, 20 – 23 September 2009, Somerset West.",2009-09-20
"Le Roux, N.J. and Lubbe, S. ",Biplots and Clustering for High-Dimensional Paired Data.,"IFCS: The 11th Conference of the International Federation of Classification Societies, 15 – 18 March 2009, Dresden.",2009-03-15
"Le Roux, N.J. and Lubbe, S.",Optimal Canonical Variate Analysis Biplots when the number of groups is less than the number of variables.,"SASA: Annual South African Statistical Association Conference, 29 – 31 October 2008, Pretoria.",2008-10-29
"Lubbe, S., le Roux, N.J. and Cillie, R.", A biplot view on Socio-economic progress in South Africa 1994 – 2006.,"SASA: Annual South African Statistical Association Conference, 29 – 31 October 2008, Pretoria.",2008-10-29
"La Grange, A.M., le Roux, N.J. and Lubbe, S.",Constructing and interacting with biplots: The BiplotGUI package for R.,"RC33 : 7th International Conference on Social Science Methodology, 1–5 September 2008, Naples, Italy.",2008-09-01
"Lubbe, S. and le Roux, N.J.","Biplots, bagplots a-bags and more …","RC33 : 7th International Conference on Social Science Methodology, 1–5 September 2008, Naples, Italy.",2008-09-01
"Lubbe, S. and le Roux, N.J.",Enhancing Multivariate Analyses in Forestry and Biopulping Applications with Biplot Methodology.,"Conference of the International Biometrics Society, 13 –18 July 2008, Dublin, Ireland.",2008-07-13
"Le Roux, N.J. and Lubbe, S.",Geometrical considerations and Biplots associated with Canonical Variate Analysis involving two classes.,"International Conference on Multivariate Statistical Modeling and High Dimensional Data Mining, 19–23 June 2008, Kayseri, Turkey.",2008-06-19
"La Grange, A.M., le Roux, N.J. and Lubbe, S.",BiplotGUI: An Interactive Menu-driven Package for Biplots in R.,"SASA: Annual South African Statistical Association Conference, 31 October – 2 November 2007, Johannesburg.",2007-10-31
"Le Roux, N.J., Lubbe, S, la Grange, AM and Groenen, PJF.",General method for obtaining smoothed non-linear biplot prediction trajectories.,"SASA: Annual South African Statistical Association Conference, 31 October – 2 November 2007, Johannesburg.",2007-10-31
"Lubbe, S., le Roux, N.J., Gower, J.C., Maunders, H. and Patwardhan, S.",Measures of Fit for Biplots:  An Application in the Identification of Differentially Expressed Genes.,"SASA: Annual South African Statistical Association Conference, 31 October – 2 November 2007, Johannesburg.",2007-10-31
"Groenen, P.J.F., Lubbe, S., le Roux, N.J., la Grange, A.M.",Nonlinear Biplots with a Shortest Distance Interpretation.,"International Meeting of the Psychometric Society, 10 – 13 July 2007, Tokyo, Japan.",2007-07-10
"La Grange, A.M., Lubbe, S., Groenen, P.J.F. and le Roux, N.J.",Applying Unfolding in the Construction of Non-linear Biplot Trajectories.,"IFCS: International Conference on Correspondence Analysis and Related Methods, 25 – 27 June 2007, Rotterdam, The Netherlands.",2007-06-25
"Gardner, S. and le Roux, N.J.",Biplots in the exploratory analysis of gene expression arrays.,"SASA: Annual South African Statistical Association Conference, 1 – 3 November 2006, Stellenbosch.",2006-11-01
"Le Roux, N.J. and Gardner, S.",Statistical analysis of South African wood pulp data using biplots.,"SASA: Annual South African Statistical Association Conference, 1 – 3 November 2006, Stellenbosch.",2006-11-01
"Gardner, S. and le Roux, N.J.",Multidimensional visualisation of time series and the construction of acceptance regions in a PCA biplot.,"COMPSTAT 2006, 28 August – 1 September 2006, Rome, Italy.",2006-08-28
"Gardner, S. and le Roux, N.J.",Sub-species of Homopus Areolatus? Biplots and small class inference with Analysis of Distance.,"IFCS: The 10th Conference of the International Federation of Classification Societies, 25 – 29 July 2006, Ljubljana, Slovenia.",2006-07-25
"Gardner, S., le Roux, N.J. and Gower, J.C.",Biplots for Free Choice Profile data in Generalised Orthogonal Procrustes Analysis.,"SASA: Annual South African Statistical Association Conference, 2 – 4 November 2005, Grahamstown.",2005-11-02
"Le Roux, N.J. and Gardner, S.",Extensions of biplot methodology for analysing group structure in multivariate data.,"SASA: Annual South African Statistical Association Conference, 2 – 4 November 2005, Grahamstown.",2005-11-02
"Gardner, S. and le Roux, N.J.",An Identification Biplot for detecting Forgery.,"WSC: The 55th Session of the International Statistical Institute, 5–12 April 2005, Sydney, Australia.",2005-04-05
"Gardner, S. and le Roux, N.J.", An Application of Iterative Estimation of Effects in an Experimental Design and Linear Modelling Context.,"SASA: Annual South African Statistical Association Conference, 3 – 5 November 2004, Bloemfontein.",2004-11-03
"Le Roux, N.J., Gardner, S. and Gower, J.C.",Using Procrustes Analysis for a Synthesis of Canonical Variate Analysis and Generalised Canonical Correlation Analysis.,"SASA: Annual South African Statistical Association Conference, 3 – 5 November 2004, Bloemfontein.",2004-11-03
"Gardner, S. and le Roux, N.J.",Modified biplots for enhancing two-class discriminant analysis.  ,"IFCSL The 9th Conference of the International Federation of Classification Societies, 15–18 July 2004, Chicago, USA.",2004-07-15
"Gardner, S., le Roux, N.J. and Aldrich, C.",Visualisation of process data with biplots.,"First African Control Conference, 3–5 December 2003, Cape Town, South Africa.",2003-12-03
